date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:13:06	69801/69801	---M-Z	200	added ('OK')	application/javascript	etag:W/%22110a9-dxk7O40YuvyaOpdE/pKtVu0b3BQ%22	https://cdn.jsdelivr.net/npm/sweetalert2@11.7.28/dist/sweetalert2.all.min.js	C:/Users/subha/OneDrive/Desktop/SPORTS%20WELLFARE/Bengal%20Sports/cdn.jsdelivr.net/npm/sweetalert2@11.7.28/dist/sweetalert2.all.min.js	(from https://bengalbusinesscouncil.com/)
23:13:08	174029/174029	---M-Z	200	added ('OK')	application/x-javascript	etag:%222a7cd-685bf286-3106aed36b8568f4;gz%22	https://bengalbusinesscouncil.com/js/jquery-1.9.1.min.js	C:/Users/subha/OneDrive/Desktop/SPORTS%20WELLFARE/Bengal%20Sports/bengalbusinesscouncil.com/js/jquery-1.9.1.min.js	(from https://bengalbusinesscouncil.com/)
23:13:08	88492/88492	---M-Z	200	added ('OK')	application/x-javascript	etag:%22159ac-685bf286-a2b7cbaf4f58b61b;gz%22	https://bengalbusinesscouncil.com/js/merge.js	C:/Users/subha/OneDrive/Desktop/SPORTS%20WELLFARE/Bengal%20Sports/bengalbusinesscouncil.com/js/merge.js	(from https://bengalbusinesscouncil.com/)
23:13:08	50204/50204	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c41c-685bf286-c6be17a6e6bf13d3;gz%22	https://bengalbusinesscouncil.com/js/owl.carousel.min.js	C:/Users/subha/OneDrive/Desktop/SPORTS%20WELLFARE/Bengal%20Sports/bengalbusinesscouncil.com/js/owl.carousel.min.js	(from https://bengalbusinesscouncil.com/)
23:13:09	0/0	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Dec%202025%2017:43:09%20GMT	https://bengalbusinesscouncil.com/footer-ajax.php	C:/Users/subha/OneDrive/Desktop/SPORTS%20WELLFARE/Bengal%20Sports/bengalbusinesscouncil.com/footer-ajax.html	(from https://bengalbusinesscouncil.com/)
23:13:10	0/0	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Dec%202025%2017:43:09%20GMT	https://bengalbusinesscouncil.com/stall_book_ajax.php	C:/Users/subha/OneDrive/Desktop/SPORTS%20WELLFARE/Bengal%20Sports/bengalbusinesscouncil.com/stall_book_ajax.html	(from https://bengalbusinesscouncil.com/)
23:13:10	0/0	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Dec%202025%2017:43:10%20GMT	https://bengalbusinesscouncil.com/index_ajax.php	C:/Users/subha/OneDrive/Desktop/SPORTS%20WELLFARE/Bengal%20Sports/bengalbusinesscouncil.com/index_ajax.html	(from https://bengalbusinesscouncil.com/)
23:13:11	150027/150027	---M-Z	200	added ('OK')	text/css	etag:%2224a0b-68ef6d2c-47914be774ec07b6;gz%22	https://bengalbusinesscouncil.com/css/bootstrap.min.css	C:/Users/subha/OneDrive/Desktop/SPORTS%20WELLFARE/Bengal%20Sports/bengalbusinesscouncil.com/css/bootstrap.min.css	(from https://bengalbusinesscouncil.com/about)
23:13:11	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-68ef6d2c-502257cc5b2ad29f;gz%22	https://bengalbusinesscouncil.com/css/owl.carousel.min.css	C:/Users/subha/OneDrive/Desktop/SPORTS%20WELLFARE/Bengal%20Sports/bengalbusinesscouncil.com/css/owl.carousel.min.css	(from https://bengalbusinesscouncil.com/about)
23:13:12	17117/17117	---M-Z	200	added ('OK')	text/css	etag:%2242dd-68ef6d2c-fd41ce481be92753;gz%22	https://bengalbusinesscouncil.com/css/jquery.fancybox.min.css	C:/Users/subha/OneDrive/Desktop/SPORTS%20WELLFARE/Bengal%20Sports/bengalbusinesscouncil.com/css/jquery.fancybox.min.css	(from https://bengalbusinesscouncil.com/about)
23:13:12	36818/36818	---M-Z	200	added ('OK')	application/x-javascript	etag:%228fd2-685bf286-80eab7ce9c44c58b;gz%22	https://bengalbusinesscouncil.com/js/bootstrap.min.js	C:/Users/subha/OneDrive/Desktop/SPORTS%20WELLFARE/Bengal%20Sports/bengalbusinesscouncil.com/js/bootstrap.min.js	(from https://bengalbusinesscouncil.com/about)
23:13:12	1454/1454	---M-Z	200	added ('OK')	application/x-javascript	etag:%225ae-685bf286-46877487c9719989;gz%22	https://bengalbusinesscouncil.com/js/all.js	C:/Users/subha/OneDrive/Desktop/SPORTS%20WELLFARE/Bengal%20Sports/bengalbusinesscouncil.com/js/all.js	(from https://bengalbusinesscouncil.com/about)
23:13:13	68260/68260	---M-Z	200	added ('OK')	application/x-javascript	etag:%2210aa4-685bf286-8d07ca1c743ff7f7;gz%22	https://bengalbusinesscouncil.com/js/jquery.fancybox.min.js	C:/Users/subha/OneDrive/Desktop/SPORTS%20WELLFARE/Bengal%20Sports/bengalbusinesscouncil.com/js/jquery.fancybox.min.js	(from https://bengalbusinesscouncil.com/about)
23:13:14	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-f4fdf959a66e5fe8;gz%22	https://bengalbusinesscouncil.com/assets/vendor/aos/dist/aos.css	C:/Users/subha/OneDrive/Desktop/SPORTS%20WELLFARE/Bengal%20Sports/bengalbusinesscouncil.com/assets/vendor/aos/dist/aos.css	(from https://bengalbusinesscouncil.com/newsletter)
23:13:14	284996/284996	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-45944%22	https://code.jquery.com/jquery-3.7.0.js	C:/Users/subha/OneDrive/Desktop/SPORTS%20WELLFARE/Bengal%20Sports/code.jquery.com/jquery-3.7.0.js	(from https://bengalbusinesscouncil.com/newsletter)
23:13:15	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-f4fdf959a66e5fe8;gz%22	https://bengalbusinesscouncil.com/assets/vendor/aos/dist/aos.js	C:/Users/subha/OneDrive/Desktop/SPORTS%20WELLFARE/Bengal%20Sports/bengalbusinesscouncil.com/assets/vendor/aos/dist/aos.js	(from https://bengalbusinesscouncil.com/newsletter)
23:13:17	0/0	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Dec%202025%2017:43:16%20GMT	https://bengalbusinesscouncil.com/newsletter_ajax.php	C:/Users/subha/OneDrive/Desktop/SPORTS%20WELLFARE/Bengal%20Sports/bengalbusinesscouncil.com/newsletter_ajax.html	(from https://bengalbusinesscouncil.com/newsletter)
23:13:17	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/Users/subha/OneDrive/Desktop/SPORTS%20WELLFARE/Bengal%20Sports/code.jquery.com/jquery-3.5.1.min.js	(from https://bengalbusinesscouncil.com/members)
23:13:17	293713/293713	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-47b51%22	https://code.jquery.com/jquery-3.6.2.js	C:/Users/subha/OneDrive/Desktop/SPORTS%20WELLFARE/Bengal%20Sports/code.jquery.com/jquery-3.6.2.js	(from https://bengalbusinesscouncil.com/members)
23:13:18	0/0	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Dec%202025%2017:43:17%20GMT	https://bengalbusinesscouncil.com/member-profile-ajax.php	C:/Users/subha/OneDrive/Desktop/SPORTS%20WELLFARE/Bengal%20Sports/bengalbusinesscouncil.com/member-profile-ajax.html	(from https://bengalbusinesscouncil.com/members)
